Affordable Rentals for Over 55's,forRent
$1.35 million,forSale
"""200,000 Yield"" $198,000",forSale
"""$695,000 - $749,000""",forSale
"""6.56% Yield"" $198,000",forSale
"""Rent to Own"" to ""Above $550k""",forSale
"""Superior Corner Location"" on 739m2 approx",forSale
"$ $321,500-$330,000",forSale
"$ 15,000 - $ 50,000 or AS A WHOLE $ 299,000",forSale
$ 450K  FIXED PRICE 20 SQS HOME 4 BEDS,forSale
"$ 465,000.00 Negotiable",forSale
"$ 549,000 - Investors dream - 5,7% yield!!",forSale
"$ 895,000! Display Home! 10% Leaseback",forSale
"$ 9 6 9 , 0 0 0",forSale
$1 million,forSale
$1 Million +,forSale
$1 to $1.1m,forSale
"$1, 400, 000 NEGOTIABLE",forSale
"$1,000,000+",forSale
"$1,020,000 with 8% rental return",forSale
"$545,000 2-STOREY TURNKEY",forSale
"From $329,072*",forSale
"""Rent to Own"" to ""Above $550k""",forSale
$ 450K  FIXED PRICE 20 SQS HOME 4 BEDS,forSale
"$1,020,000 with 8% rental return",forSale
"$ 344.5 1,020,000 with 8% rental return",forSale
"""6.56% Yield"" $198,000",forSale
$1 to $1.1m,forSale
$bjklhh 1 to $1.1m2 n,forSale
"""200,000 Yield"" $198,000",forSale
"Range: $1,085,000 - $1,265,000",Sold
"$921,910",Sold
"!! Price Reduction !! $272,000(Neg)",forSale